County_Name,State_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%)
Appanoose County,Iowa,193,12600,0.715025907,0.284974093,0,45.2,0,0.906330826
Appling County,Georgia,76,18410,1,0,0,37.3,0,0.967672415
Appomattox County,Virginia,74,15315,0.986486486,0.013513514,0,20.4,0,0.884284057
Aransas County,Texas,20,24730,1,0,0,3,0,0.891372329
Arapahoe County,Colorado,380,617670,0.963157895,0.036842105,0,39.8,4,0.78095535
Archer County,Texas,125,8750,0.976,0.024,0,,,0.891372329
Archuleta County,Colorado,43,12355,0.930232558,0.069767442,0,1.7,1.7,0.78095535
Arenac County,Michigan,79,15325,0.848101266,0.151898734,,39.9,0,0.771767308
Arkansas County,Arkansas,157,18570,0.98089172,0.01910828,0,19.7,0,0.796760502
Arlington County,Virginia,172,226090,0.970930233,0.029069767,1,2.3,2.3,0.884284057
Armstrong County,Pennsylvania,263,67510,0.851711027,0.148288973,0,69.4,0,0.714875343
Armstrong County,Texas,12,1915,0.916666667,0.083333333,0,32,0,0.891372329
Aroostook County,Maine,223,69405,0.923766816,0.076233184,1,249.8,0,0.776837947
Arthur County,Nebraska,,435,,,,,,0.899117407
Ascension Parish,Louisiana,212,117010,0.886792453,0.113207547,0,43.5,0,0.743835895
Ashe County,North Carolina,242,26990,0.723140496,0.276859504,0,,,0.890560355
Ashland County,Ohio,288,53345,0.96875,0.03125,0,43.5,0,0.834323878
Ashland County,Wisconsin,83,15935,0.963855422,0.036144578,0,68.7,0,0.833592818
Ashley County,Arkansas,103,20990,1,0,0,53.9,0,0.796760502
Ashtabula County,Ohio,328,99175,0.948170732,0.051829268,0,109.2,33.7,0.834323878
Asotin County,Washington,27,22115,0.962962963,0.037037037,0,,,0.710608062
Assumption Parish,Louisiana,68,22975,0.941176471,0.058823529,0,5.1,3.1,0.743835895
Atascosa County,Texas,176,47710,0.988636364,0.011363636,0,55.7,0,0.891372329
Atchison County,Kansas,201,16555,0.885572139,0.114427861,0,34,0,0.883778315
Atchison County,Missouri,191,5380,0.890052356,0.109947644,0,24.9,0,0.753229107
Athens County,Ohio,317,65105,0.902208202,0.097791798,0,33.5,3,0.834323878
Atkinson County,Georgia,57,8270,0.947368421,0.052631579,,3.1,0,0.967672415
Atlantic County,New Jersey,209,274025,0.90430622,0.09569378,1,63,44.4,0.529653452
Atoka County,Oklahoma,234,13845,0.952991453,0.047008547,0,41.7,0,0.629165553
Attala County,Mississippi,249,19085,0.791164659,0.208835341,0,,,0.731516457
Audrain County,Missouri,311,25870,0.961414791,0.038585209,0,77.8,0,0.753229107
Audubon County,Iowa,219,5795,0.876712329,0.123287671,0,,,0.906330826
Auglaize County,Ohio,341,45870,0.985337243,0.014662757,0,52,0,0.834323878
Augusta County,Virginia,353,74330,0.957507082,0.042492918,1,74,33.5,0.884284057
Aurora County,South Dakota,61,2730,0.786885246,0.213114754,,23.6,0,0.857210259
Austin County,Texas,227,29105,0.969162996,0.030837004,0,71.7,0,0.891372329
Autauga County,Alabama,114,55050,0.964912281,0.035087719,0,50.7,0,0.880672042
Avery County,North Carolina,105,17635,0.847619048,0.152380952,0,,,0.890560355
Avoyelles Parish,Louisiana,161,41250,0.695652174,0.304347826,0,44.6,0,0.743835895
Baca County,Colorado,106,3650,0.952830189,0.047169811,0,103.8,0,0.78095535
Bacon County,Georgia,42,11250,0.952380952,0.047619048,0,5.2,0,0.967672415
Bailey County,Texas,4,7130,1,0,0,22.1,0,0.891372329
Baker County,Oregon,186,16030,0.919354839,0.080645161,0,68.2,0,0.897757095
Baker County,Florida,90,27310,0.922222222,0.077777778,0,39.9,0,0.882151679
Baker County,Georgia,24,3250,0.916666667,0.083333333,0,,,0.967672415
Baldwin County,Alabama,360,199510,0.980555556,0.019444444,0,30.4,0,0.880672042
Baldwin County,Georgia,77,45810,0.974025974,0.025974026,0,27.2,0,0.967672415
Ballard County,Kentucky,86,8215,0.918604651,0.081395349,,13,13,0.920222177
Baltimore city,Maryland,376,621000,0.912234043,0.087765957,0,76.8,12.9,0.880315818
Baltimore County,Maryland,768,825665,0.951822917,0.048177083,0,91.1,20.7,0.880315818
Bamberg County,South Carolina,85,15055,0.847058824,0.152941176,0,19,19,0.812866638
Bandera County,Texas,67,21015,1,0,0,,,0.891372329
Banks County,Georgia,93,18335,0.967741935,0.032258065,,13,6.9,0.967672415
Banner County,Nebraska,36,795,1,0,,,,0.899117407
Bannock County,Idaho,118,83815,0.906779661,0.093220339,0,88,0,0.968883613
